track_id,track_title,artist_name,play_count
SOMZWCG12A8C13C480,I Didn't Mean To,Casual,0.6021199899057548
SOCIWDW12A8C13D406,Soul Deep,The Box Tops,0.0
SOXVLOJ12AB0189215,Amor De Cabaret,Sonora Santanera,0.0
SONHOTT12A8C13493C,Something Girls,Adam Ant,0.0
SOFSOCN12A8C143F5D,Face the Ashes,Gob,0.6045007385888197
SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,0.0
SOMJBYD12A6D4F8557,Keepin It Real (Skit),Rated R,0.0
SOHKNRJ12A6701D1F8,Drop of Rain,Tweeterfriendly Music,0.0
SOIAZJW12AB01853F1,Pink World,Planet P Project,0.26586104921065007
SOUDSGM12AC9618304,Insatiable (Instrumental Version),Clp,0.0
SOQHXMF12AB0182363,Young Boy Blues,JennyAnyKind,0.0
SOKEJEJ12A8C13E0D0,The Urgency (LP Version),Wayne Watson,0.26586104921065007
SOMUYGI12AB0188633,La Culpa,Andy Andy,0.0
SORAMLE12AB017C8B0,Auguri Cha Cha,Bob Azzam,0.0
SOBONFF12A6D4F84D8,Tonight Will Be Alright,Lionel Richie,0.0
SOHUOAP12A8AE488E9,Floating,Blue Rodeo,0.4051157216913865
SOUQQEA12A8C134B1B,High Tide,Richard Souther,0.3347065490692206
SOILPQQ12AB017E82A,Sohna Nee Sohna Data,Faiz Ali Faiz,0.0
SOXLBJT12A8C140925,Caught In A Dream,Tesla,0.6841361912294903
SOZVMJI12AB01808AF,Synthetic Dream,lextrical,0.0
SOWTBJW12AC468AC6E,Broken-Down Merry-Go-Round,Jimmy Wakely,0.0
SOBEBDG12A58A76D60,Kassie Jones,Alice Stuart,0.0
SOZCTXZ12AB0182364,Setanta matins,Elena,0.3135621142479342
SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,0.6665278462297023
SOBLGCN12AB0183212,James (Hold The Ladder Steady),SUE THOMPSON,0.4952936212921635
SOPSWQW12A6D4F8781,Made Like This (Live),Five Bolt Main,0.37598430150044215
SOZQDIU12A58A7BCF6,Superconfidential,Clp,0.0
SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,0.0
SOBZBAZ12A6D4F8742,Spanish Grease,Willie Bobo,0.0
SOVYKGO12AB0187199,Crazy Mixed Up World,Faye Adams,0.0
SOGNCJP12A58A80271,Do You Finally Need A Friend,Terry Callier,0.4137398358601097
SOLLHMX12AB01846DC,The Emperor Falls,John Wesley,0.3775316449767025
SOYTPEP12AB0180E7B,Twist and Shout,The Shangri-Las,0.4432913119053975
SOGXHEG12AB018653E,It Makes No Difference Now,Billie Jo Spears,0.0
SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),0.0
SOGOSOV12AF72A285E,¿Dónde va Chichi?,Sierra Maestra,0.0
SOJXVAH12A8C139700,"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,0.593943075901947
SOVXMTN12A8C135A18,OUTE ENA EFHARISTO,Despina Vandi,0.0
SORSECL12AB0182267,Midnight Swim,Javier Navarrete,0.3943948561005826
SOOGFBZ12AC3DF7FF2,In A Subtle Way,Jacob Young,0.0
SOMSBGZ12AB018C4CB,Spin,Scarlet's Remains,0.450992311636255
SONYRZV12AB018AF70,Burning In The Aftermath,The Suicide Machines,0.5287824809425877
SONQBUB12A6D4F8ED0,Angie (1993 Digital Remaster),The Rolling Stones,0.8344926198909054
SOHGKJW12AC468A8BD,Sabor Guajiro,Roberto Torres,0.0
SOINBCU12A6D4F94C0,Human Cannonball,Loudon Wainwright III,0.5101193140330347
SOTWVQT12A58A79650,Glory Be,R.L. Burnside,0.48213758506501503
SOTSEJY12AB0180F56,Crossfire,Stevie Ray Vaughan,0.0
SOTSETT12AB01863B8,I Can't Be Satisfied,John Hammond,0.0
SOTUNMH12A6D4FA3E6,Nashville Parthenon,Casiotone For The Painfully Alone,0.7858922883883538
SOEPPKB12AB018418B,Cocain Ducks,Ec8or,0.0
SOGKIWV12A6D4F86C4,Human Being,The New York Dolls,0.5616924111789523
SOPHYIS12AAF3B35A3,The More I See You,Eliane Elias,0.4348380902608562
SOFHBAR12A6701D0FE,Certain Things We Do,Lost Boyz,0.4051157216913865
SOCPRKM12AB018A2FD,Forming,The Germs,0.0
SOFGHAM12AB0186412,Mafuá,Yamandu Costa,0.0
SODHVES12A6701CE6B,Driving Home For Christmas,Chris Rea,0.767727748373397
SOXIATP12AAF3B2184,Spooks In Space,Perrey And Kingsley,0.4348380902608562
SOGNQWU12A8AE4868F,Tous Les Garçons Et Les Filles,Eurythmics,0.38293509007501925
SOYQOFI12A6D4F76E1,Too Much Saturn,Francis Dunnery,0.6104742577715245
SOVOLGY12A6D4F822B,Movement 4 [from Kiss] (Album Version),John Cale,0.2265553139555314
SOMZCVH12AB0182B8E,Stream,Suzanne Ciani,0.4159831182884585
SONXJBL12AAF3B2C0C,Make Me Over,Vickie Winans,0.0
SOYWZTU12AB0180E26,Deform (live),The Berzerker,0.0
SOLGHDZ12AB0183B11,Wicker Chair,Kings Of Leon,0.6859402266976852
SOTNTNJ12AAA15FBD6,An ti chans',Edith Lefel,0.0
SOXZXXV12AAF3B3A67,I Will Love Again (JJ's Club Radio),Taras,0.0
SOPIKEG12A58291636,Stickin In My Eye,NOFX,0.6712360269845353
SOIRNBO12AC468D207,Ota kiinni,Murskahumppa,0.0
SOSBDSF12AB0189007,Entre Caníbales,Soda Stereo,0.6261657596688281
SOIJXXM12A8C1416D6,Rosemary Recalls,Bruce Rowland,0.0
SOHMMMC12AB0181C42,Sudanese Dance,Xcultures,0.1992382620006783
SOVJXVJ12A8C13517D,Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,0.26586104921065007
SOFZCTA12AB0188D8F,Wanna Be A Player,Heavy D / McGruff,0.23773394162247466
SOLRYQR12A670215BF,Panama (Remastered Album Version),Van Halen,0.8244821296824321
SOCHRXB12A8AE48069,Let's Get It Started,Black Eyed Peas,0.6244254932707666
SOKBBXO12A6701DEA0,Metal,Nine Inch Nails,0.6355366486226686
SOWHYUG12A58A77FAB,She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds,0.0
SOYSTDI12A6D4F6500,Next Time,Nadine Renee,0.19878534876524423
SOOOROX12A6D4F8400,It's My Party,Lesley Gore,0.0
SONSPZE12AB01819CE,Complicate It,Smartbomb,0.0
SOHWGFU12AB017B036,Monde De Fou,Suburbs,0.24906579485370342
SOQQVQJ12AB0185192,Opus a Satana (Part 2),Emperor,0.0
SODRHHD12AB0189F2A,This Melody (Live),Julien Clerc,0.0
SOQGFVO12A8C13C8C3,I'm Gone This Time,Glen Campbell,0.0
SORABMD12A8C136672,You Feel Good All Over,T.G. Sheppard,0.3827232807891977
SOTUBVH12AB018D2EC,Indian Love Call,Slim Whitman,0.0
SOMQAGT12A8C132DB4,You Can Still Be Free,Savage Garden,0.0
SOKLLOH12A67020F2C,I Never Came,Queens Of The Stone Age,0.7251212835673101
SONRLQH12AB017C232,Dixie,Hank Penny & The Lincoln Penny Orchestra,0.0
SODDZAD12A6701DC4C,Commercial Reign,Inspiral Carpets,0.6651722407621973
SORENXV12A6701F61F,Hourglass,Borialis,0.5546547674656118
SOYMMDY12AB01825B2,Wake,The Dirty Skirts,0.30416950343527516
SOJWQIP12A6D4F710A,Caricia Y Herida,Flor Silvestre,0.0
SOOVOKS12AB017EE57,Le tortillard,Bézu,0.0
SORWHWY12A6702038E,WKYA (drop),Redman,0.5701059300583878
SOGYYLE12A8C13E5EA,Teräslintu,Solistiyhtye Suomi,0.0
SOITUXQ12AB0183AE9,Now's The Time To Fall In Love,Eddie Cantor,0.0
SOTWEZZ12A8C142B60,Grim Prospects (Gross Prospects - Bad Trip Remix),Schizoid,0.0
SOUVRGZ12A58A77F90,Mangos,Kai Winding,0.0
SOBLTSM12A6D4F9EEA,A Distant Voice,Sonny Simmons,0.2707759989463275
SOUQVUD12A8C142DCE,Openbare Weg,Mira,0.0
SOCRPDR12AB0185B75,President Johnson,Citizen Kaned,0.0
SOXVBVL12AF72A600C,Lead Me Lord,The Brooklyn Tabernacle Choir,0.4051157216913865
SOIQHDR12AB01896C8,Spontanous Combustion,Ellen McIlwaine,0.24274187894946822
SODLSHA12AAF3B29F2,Choro,Vince Guaraldi / Bola Sete,0.3867901771390143
SOAGHMH12AB0180285,Ma Louise,Maurice Chevalier,0.0
SORAVUP12AB018556E,I Want You (Forever),Carl Cox Vs Yousef,0.5112548351002428
SOFXNQP12AB0184F1A,Hate,Organized Konfusion,0.46048484498641545
SOGQTRZ12A8C13C8B0,I Can't Stop Loving You,Martina McBride,0.48828987603734525
SOBHVZQ12AC9618285,Thank You Lord,Horace Andy,0.0
SOYPBCY12AB0181EF3,How Can You Call That Beautiful (Stewkey Vocal),Nazz,0.0
SOWRLSY12AC4687694,Cheatin' In The Next Room,Tyrone Davis,0.0
SOOGQWR12A8C142505,Candy Man,Hot Tuna,0.0
SOJDYQY12AB0188C97,I See The Boys Of Summer,Richard Burton,0.0
SOBHQUF12AB018B03E,Three Is a Crowd,Rory Block,0.0
SOFRAZJ12A8C143CDB,On Bended Knee,Boyz II Men,0.34580223396532944
SONNDHT12A8C13F20B,My Four Reasons,Howard Armstrong,0.3335548072764493
SOYZOXW12A8C13E195,Little Girl (LP Version),Donny Hathaway,0.6173656175717818
SOSGJTX12AB0181F7C,Eternamente Amame,Miguel Gallardo,0.0
SOBQBWP12AB018611B,Niev nietch nievitch,Les Ogres De Barback,0.3943948561005826
SODULLV12AB017FA09,Come Over,DJ X-Change featuring DJ Joey A,0.0
SOYAGJM12A8C13DCCE,Blue Taxi,Morel,0.0
SORXUZZ12A8AE4798A,I Want Love (Tween You & Me) (Album Version),Tony Joe White,0.3747968370214053
SOCHXAE12AF72A25D6,White Feather,Wolfmother,0.0
SOCRHCQ12A58A7C8C6,Christlike Roche,The Roches,0.26586104921065007
SOSEJIQ12AB017E7EB,You Rascal You,Bob Margolin,0.23379647424179947
SOMXWXQ12AC3DFA002,Sympathy,Thomas Battenstein,0.0
SOGMXBW12A6D4FB8D7,They Say (Album),Jupiter Rising,0.21508031850922793
SOOPUTF12AB018DFAA,Simon's Folly,Dharma Bums,0.0
SOFDTRZ12AB018DD11,Crawl Before You Ball (Album Version),Saafir,0.0
SOOGNJP12A8C1381AD,Medicate Myself,The Verve Pipe,0.46630483075728635
SOFUBCP12A8C13D5EF,Biding Her Time,Bob Neuwirth,0.48061061838775304
SOVZBDR12A6702012E,More And More  (LP Version),Marvin Sapp,0.2656833797102308
SOPWKSS12AC468E659,Cowboy Ways,James Hunter,0.0
SOCCQIQ12A8C13C76B,Brasas Vivas,Nelson Ned,0.0
SODBMZD12A8C134232,Kolomeyke,Mish Mash,0.0
SOBUWPY12A8C1446C0,In This Life,Cama,0.0
SORWXUP12A58A79E65,Groovin' In The Midnight,Maxi Priest,0.34580223396532944
SOJEVZW12A8C133988,Waiting,Porcupine Tree,0.8251735403780842
SOOODKC12AB018462F,A'chek Ouyounik (2009 Digital Remaster),Ragheb Alama,0.0
SODOLVO12B0B80B2F4,Hell,Foo Fighters,0.0
SOEHWGF12A6D4F8B2B,Hips Don't Lie (featuring Wyclef Jean),Shakira Featuring Wyclef Jean,0.7373853102276186
SOOZLTC12A6D4FBE91,Juoksuhauta-twist (Elämä juoksuhaudoissa),The Avengers,0.0
SOOSYMY12AB01888CD,I Got Over It (Album Version),Robben Ford,0.47212111953959446
SOPBKEB12A6D4FD777,One Less Bell To Answer,Brazilian Tropical Orchestra,0.0
SOEWQYW12AB0183FDE,Festa,Gil Semedo,0.39200877147130697
SOFBQIA12AB0182219,Te Hacen Falta Vitaminas,Soda Stereo,0.0
SOHDDHR12AB0183552,Sense And Trick,Xmilk,0.0
